station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2003-07-16,496.82068,862.1309204101562,turkana,0.0,0.0,1
G5171,2003-07-17,437.99753,918.5167236328125,turkana,0.0,0.0,1
G5171,2003-07-18,583.3,968.4957275390625,turkana,0.0,0.0,1
G5171,2003-07-19,862.1309,968.4957275390625,turkana,0.0,0.0,1
G5171,2003-07-20,918.5167,968.4957275390625,turkana,0.0,0.0,1
G5171,2003-07-21,968.4957,968.4957275390625,turkana,0.0,0.0,1
G5171,2003-07-22,910.4629,1004.7598266601562,turkana,0.0,0.0,1
G5171,2003-07-23,883.8479,1301.332763671875,turkana,0.0,0.0,1
G5171,2003-07-24,809.14886,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-25,1004.7598,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-26,1301.3328,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-27,1394.9443,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-28,1171.001,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-29,831.89185,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-30,694.0209,1394.9443359375,turkana,0.0,0.0,1
G5171,2003-07-31,801.0728,1171.0009765625,turkana,0.0,0.0,1
G5171,2003-08-01,722.1068,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-02,819.9168,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-03,1136.7513,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-04,1069.8411,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-05,890.3585,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-06,771.80804,1136.7513427734375,turkana,0.0,0.0,1
G5171,2003-08-07,649.8025,1069.841064453125,turkana,0.0,0.0,1
G5171,2003-08-08,590.25275,890.3585205078125,turkana,0.0,0.0,1
G5171,2003-08-09,671.6703,771.8080444335938,turkana,0.0,0.0,1
G5171,2003-08-10,644.00446,827.6454467773438,turkana,0.0,0.0,1
G5171,2003-08-11,518.96094,948.0753784179688,turkana,0.0,0.0,1
G5171,2003-08-12,524.4852,1192.6414794921875,turkana,0.0,0.0,1
G5171,2003-08-13,827.64545,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-14,948.0754,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-15,1192.6415,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-16,1572.8771,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-17,1522.4865,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-18,1254.3784,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-19,1293.8364,1572.8770751953125,turkana,0.0,0.0,1
G5171,2003-08-20,1332.2832,1522.4864501953125,turkana,0.0,0.0,1
G5171,2003-08-21,1284.3787,1332.283203125,turkana,0.0,0.0,1
G5171,2003-08-22,1237.193,1332.283203125,turkana,0.0,0.0,1
G5171,2003-08-23,1083.225,1332.283203125,turkana,0.0,0.0,1
G5171,2003-08-24,1238.7242,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-25,1237.0314,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-26,1129.3159,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-27,1427.7261,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-28,1395.7078,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-29,1195.4948,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-30,1133.3157,1427.72607421875,turkana,0.0,0.0,1
G5171,2003-08-31,990.38745,1395.707763671875,turkana,0.0,0.0,1
G5171,2003-09-01,1175.2848,1358.4208984375,turkana,0.0,0.0,1
G5171,2003-09-02,1358.4209,1358.4208984375,turkana,0.0,0.0,1
G5171,2003-09-03,1176.7173,1358.4208984375,turkana,0.0,0.0,1
G5171,2003-09-04,911.00574,1358.4208984375,turkana,0.0,0.0,1
G5171,2003-09-05,733.1896,1358.4208984375,turkana,0.0,0.0,1
G5171,2003-09-06,595.7159,1176.71728515625,turkana,0.0,0.0,1
G5171,2003-09-07,490.65033,911.0057373046875,turkana,0.0,0.0,1
G5171,2003-09-08,431.25912,773.0079956054688,turkana,0.0,0.0,1
G5171,2003-09-09,474.01556,919.0751953125,turkana,0.0,0.0,1
G5171,2003-09-10,689.02655,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-11,773.008,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-12,919.0752,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-13,970.79553,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-14,748.8783,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-15,540.6053,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-16,418.89865,970.7955322265625,turkana,0.0,0.0,1
G5171,2003-09-17,402.2227,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-18,633.9136,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-19,820.87415,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-20,676.9475,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-21,492.14868,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-22,369.4925,820.8741455078125,turkana,0.0,0.0,1
G5171,2003-09-23,296.05673,676.947509765625,turkana,0.0,0.0,1
G5171,2003-09-24,251.67451,492.148681640625,turkana,0.0,0.0,1
G5171,2003-09-25,223.59865,369.49249267578125,turkana,0.0,0.0,1
G5171,2003-09-26,204.48946,296.0567321777344,turkana,0.0,0.0,1
G5171,2003-09-27,190.53395,251.6745147705078,turkana,0.0,0.0,1
G5171,2003-09-28,179.06158,223.59864807128906,turkana,0.0,0.0,1
G5171,2003-09-29,169.14859,204.4894561767578,turkana,0.0,0.0,1
G5171,2003-09-30,160.37726,190.53395080566406,turkana,0.0,0.0,1
G5171,2003-10-01,152.2588,179.06158447265625,turkana,0.0,0.0,1
G5171,2003-10-02,144.90872,169.14859008789062,turkana,0.0,0.0,1
G5171,2003-10-03,138.21739,160.37725830078125,turkana,0.0,0.0,1
G5171,2003-10-04,132.72519,152.25880432128906,turkana,0.0,0.0,1
G5171,2003-10-05,128.81523,144.90872192382812,turkana,0.0,0.0,1
G5171,2003-10-06,126.02897,138.21739196777344,turkana,0.0,0.0,1
G5171,2003-10-07,122.653404,132.72518920898438,turkana,0.0,0.0,1
